track_name,artist.s._name,artist_count,released_year,released_month,in_spotify_playlists,in_spotify_charts,streams,danceability_.,valence_.,liveness_.
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,553,147,141381703,80,89,8
LALA,Myke Towers,1,2023,3,1474,48,133716286,71,61,10
vampire,Olivia Rodrigo,1,2023,6,1397,113,140003974,51,32,31
Cruel Summer,Taylor Swift,1,2019,8,7858,100,800840817,55,58,11
WHERE SHE GOES,Bad Bunny,1,2023,5,3133,50,303236322,65,23,11
Sprinter,"Dave, Central Cee",2,2023,6,2186,91,183706234,92,66,8
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,3090,50,725980112,67,83,8
Columbia,Quevedo,1,2023,7,714,43,58149378,67,26,11
fukumean,Gunna,1,2023,5,1096,83,95217315,85,22,28
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,2953,44,553634067,81,56,8
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,2876,40,505671438,57,56,27
Super Shy,NewJeans,1,2023,7,422,55,58255150,78,52,15
Flowers,Miley Cyrus,1,2023,1,12211,115,1316855716,71,65,3
Daylight,David Kushner,1,2023,4,3528,98,387570742,51,32,9
As It Was,Harry Styles,1,2022,3,23575,130,2513188493,52,66,31
Kill Bill,SZA,1,2022,12,8109,77,1163093654,64,43,16
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,2942,77,496795686,78,76,34
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,873,104,30546883,44,14,10
Classy 101,"Feid, Young Miko",2,2023,3,2610,40,335222234,86,67,12
Like Crazy,Jimin,1,2023,3,596,68,363369738,63,36,36
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,332,26,86444842,65,87,42
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,516,38,52135248,69,82,6
I Wanna Be Yours,Arctic Monkeys,1,2013,1,12859,110,1297026226,48,44,11
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,1313,40,200647221,85,81,12
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,1945,87,115364561,85,83,36
